PTS,AST,REB,FG_PCT,MIN
14,2,6,0.571,29.216666666666665
12,4,7,0.571,25.116666666666667
11,6,3,0.364,35.13333333333333
16,1,4,0.667,35.233333333333334
5,6,8,0.25,27.733333333333334
17,4,1,0.5,27.866666666666667
9,1,7,0.444,35.93333333333333
10,0,5,0.571,35.11666666666667
6,0,4,0.333,11.766666666666667
7,0,1,0.6,21.783333333333335
2,3,5,0.2,16.55
5,0,3,0.5,12.783333333333333
4,0,0,1.0,1.1
2,1,1,0.2,10.866666666666667
0,0,1,0.0,1.1
0,0,1,0.0,1.1
0,0,0,0.0,1.0166666666666666
0,0,0,0.0,1.1
0,0,0,0.0,1.1
0,0,0,0.0,1.1
0,0,0,0.0,1.6833333333333333
30,13,14,0.458,45.266666666666666
40,9,10,0.6,47.928333333333335
21,1,14,0.4,40.02333333333333
22,5,6,0.643,40.71666666666667
25,5,3,0.556,43.2
15,1,10,0.313,40.95
13,5,2,0.385,38.25666666666667
17,3,2,0.545,40.68333333333333
13,1,4,0.4,39.36666666666667
10,0,7,0.25,41.943333333333335
4,2,2,0.5,14.933333333333334
6,0,2,0.667,20.483333333333334
2,0,1,0.0,10.016666666666667
4,0,1,0.5,9.688333333333333
2,0,0,0.5,6.543333333333333
29,3,2,0.786,35.46666666666667
16,6,8,0.385,31.333333333333332
22,4,2,0.636,23.633333333333333
14,2,10,0.333,33.45
18,4,3,0.636,34.93333333333333
8,8,9,0.25,30.418333333333333
9,2,4,0.333,26.066666666666666
13,2,3,0.8,25.516666666666666
12,5,2,0.625,12.0
12,2,6,0.353,28.016666666666666
7,4,5,0.5,28.05
12,2,3,0.714,28.715
10,1,3,0.333,24.618333333333332
8,0,8,0.5,12.583333333333334
11,0,4,0.8,12.0
5,1,6,0.25,12.0
4,0,4,0.5,17.515
8,1,1,0.5,18.933333333333334
5,0,2,0.667,4.783333333333333
2,0,3,1.0,4.716666666666667
3,0,2,0.0,7.716666666666667
0,2,2,0.0,18.1
2,0,0,0.25,4.716666666666667
0,1,0,0.0,4.716666666666667
37,6,7,0.517,41.6
28,1,18,0.611,41.85
23,12,7,0.421,42.935
24,8,6,0.474,38.25
23,5,7,0.7,39.651666666666664
14,6,10,0.364,38.1
15,5,5,0.545,28.8
17,0,3,0.6,34.233333333333334
13,1,6,0.417,33.718333333333334
7,4,3,0.4,32.2
9,2,1,0.4,18.785
5,1,4,0.667,23.45
3,4,3,0.125,20.016666666666666
5,1,0,0.4,24.65
2,0,1,0.5,0.965
2,0,1,0.25,13.568333333333333
0,1,0,0.0,0.965
0,0,1,0.0,0.965
0,0,1,0.0,3.3666666666666667
0,0,0,0.0,0.965
0,0,0,0.0,0.965
34,8,13,0.5,42.4
27,6,8,0.48,40.63333333333333
22,9,17,0.412,38.09166666666667
25,0,4,0.688,32.13333333333333
13,2,4,0.444,26.046666666666667
16,3,4,0.304,37.81666666666667
13,1,3,1.0,23.2
15,1,1,0.667,20.741666666666667
11,1,1,0.667,23.126666666666665
9,2,2,0.667,25.566666666666666
9,0,2,0.25,40.108333333333334
7,3,4,0.4,32.85333333333333
11,0,1,0.5,26.783333333333335
2,2,4,0.2,28.99
0,5,1,0.0,17.05
2,0,6,0.333,9.908333333333333
0,2,5,0.0,14.55
37,5,10,0.458,42.7
23,12,17,0.429,41.95
22,10,9,0.474,40.13333333333333
18,4,14,0.267,40.945
22,5,3,0.5,36.06
16,3,7,0.5,31.298333333333332
21,1,2,0.8,30.111666666666668
12,3,5,0.455,37.28333333333333
10,5,3,0.375,32.835
10,2,4,0.556,38.928333333333335
8,2,3,0.375,25.65
4,0,6,0.222,29.938333333333333
4,0,2,0.5,16.805
2,1,1,0.333,12.966666666666667
2,0,2,0.25,14.756666666666666
0,0,1,0.0,4.5
0,0,0,0.0,2.933333333333333
0,0,0,0.0,0.205
35,7,5,0.48,43.166666666666664
30,1,7,0.529,41.03666666666667
22,5,9,0.476,38.55
20,5,8,0.692,36.95
13,11,1,0.429,33.8
15,3,4,0.545,29.783333333333335
15,3,3,0.5,27.783333333333335
15,2,3,0.667,35.8
19,1,2,0.5,36.81666666666667
14,0,7,1.0,25.513333333333332
7,2,6,0.375,31.933333333333334
15,0,3,0.6,34.21666666666667
11,1,2,0.667,20.6
8,0,6,0.75,16.45
0,0,3,0.0,9.283333333333333
